,BUILT_FORM,TOTAL_FLOOR_AREA,FLOOR_HEIGHT,GLAZED_AREA,NUMBER_HABITABLE_ROOMS,WINDOWS_DESCRIPTION,WALLS_DESCRIPTION,ROOF_DESCRIPTION,NUMBER_HEATED_ROOMS,NUMBER_OPEN_FIREPLACES,MULTI_GLAZE_PROPORTION,MAINHEAT_DESCRIPTION
6286,0,240.8,2.35,3,8.0,0,2,6,8.0,0.0,100.0,7
6287,5,68.6,2.4,3,4.0,0,3,4,4.0,0.0,100.0,7
6288,5,108.06,2.46,3,5.0,3,1,4,5.0,0.0,88.0,7
6289,0,112.44,2.35,3,5.0,0,3,6,5.0,0.0,100.0,7
6290,3,143.1,2.35,3,9.0,0,5,16,9.0,0.0,100.0,7
6291,0,115.75,2.43,3,8.0,2,1,16,8.0,0.0,95.0,7
6292,4,104.5,2.76,3,7.0,0,16,13,7.0,0.0,100.0,7
6293,3,85.1,2.25,3,4.0,4,1,14,4.0,0.0,0.0,7
6294,5,83.8,2.45,3,4.0,0,0,15,2.0,0.0,100.0,7
6295,5,105.9,2.5,3,6.0,0,1,7,6.0,1.0,100.0,7
6296,5,91.5,2.42,3,4.0,0,3,6,4.0,0.0,100.0,7
6297,3,60.12,2.42,3,4.0,0,1,11,4.0,0.0,100.0,7
6298,5,142.9,2.52,3,6.0,0,1,19,6.0,1.0,100.0,7
6299,4,53.88,2.75,3,4.0,0,12,8,4.0,0.0,100.0,7
6300,5,123.8,2.65,3,6.0,0,16,7,6.0,0.0,100.0,7
6301,4,124.7,2.82,3,5.0,2,16,3,5.0,0.0,82.0,7
6302,5,80.5,2.62,3,5.0,0,16,4,5.0,1.0,100.0,7
6303,4,56.03,2.37,3,3.0,4,0,4,3.0,0.0,0.0,7
6304,5,83.25,2.52,3,5.0,3,0,0,5.0,3.0,25.0,7
6305,5,122.8,2.432,3,5.0,0,0,8,5.0,0.0,100.0,7
6306,5,85.9,2.28,3,7.0,0,0,7,7.0,0.0,100.0,7
6307,5,92.5,2.4,3,6.0,0,3,7,6.0,0.0,100.0,7
6308,5,138.4,2.66,3,7.0,0,2,6,7.0,0.0,100.0,8
6309,3,118.2,2.5,3,6.0,0,0,8,6.0,0.0,100.0,7
6310,5,90.0,2.5,3,5.0,4,1,4,5.0,0.0,0.0,7
6311,0,126.1,2.33,3,7.0,0,0,4,7.0,0.0,100.0,7
6312,3,62.7,2.42,3,3.0,0,23,6,3.0,0.0,100.0,7
6313,4,73.0,2.3,3,4.0,0,0,19,4.0,0.0,100.0,7
6314,0,117.4,2.4,3,5.0,0,16,11,5.0,0.0,100.0,7
6315,0,146.2,2.49,3,7.0,2,16,8,7.0,2.0,85.0,7
6316,3,92.56,2.32,3,5.0,0,1,12,5.0,0.0,100.0,7
